year,instance,filename
2009,2009_96,2009_96 2009-05-30 fwi.npy
2009,2009_96,2009_96 2009-05-31 fwi.npy
2009,2009_96,2009_96 2009-06-01 fwi.npy
2009,2009_96,2009_96 2009-06-02 fwi.npy
2009,2009_96,2009_96 2009-06-03 fwi.npy
2009,2009_96,2009_96 2009-06-04 fwi.npy
2009,2009_97,2009_97 2009-05-31 fwi.npy
2010,2010_109,2010_109 2010-05-13 fwi.npy
2010,2010_221,2010_221 2010-06-05 fwi.npy
2010,2010_221,2010_221 2010-06-08 fwi.npy
2010,2010_266,2010_266 2010-06-13 fwi.npy
2010,2010_266,2010_266 2010-06-14 fwi.npy
2010,2010_266,2010_266 2010-06-15 fwi.npy
2011,2011_3,2011_3 2011-04-19 fwi.npy
2011,2011_733,2011_733 2011-10-28 fwi.npy
2012,2012_138,2012_138 2012-10-17 fwi.npy
2012,2012_139,2012_139 2012-10-17 fwi.npy
2012,2012_19,2012_19 2012-04-12 fwi.npy
2012,2012_20,2012_20 2012-04-05 fwi.npy
2012,2012_247,2012_247 2012-06-22 fwi.npy
2012,2012_247,2012_247 2012-06-23 fwi.npy
2012,2012_305,2012_305 2012-06-23 fwi.npy
2012,2012_33,2012_33 2012-04-19 fwi.npy
2012,2012_40,2012_40 2012-04-23 fwi.npy
2013,2013_113,2013_113 2013-06-07 fwi.npy
2013,2013_116,2013_116 2013-06-07 fwi.npy
2014,2014_1,2014_1 2014-10-10 fwi.npy
2014,2014_153,2014_153 2014-06-20 fwi.npy
2014,2014_153,2014_153 2014-06-24 fwi.npy
2014,2014_17,2014_17 2014-04-28 fwi.npy
2014,2014_40,2014_40 2014-05-14 fwi.npy
2015,2015_101,2015_101 2015-05-07 fwi.npy
2015,2015_12,2015_12 2015-04-16 fwi.npy
2015,2015_12,2015_12 2015-04-18 fwi.npy
2015,2015_191,2015_191 2015-05-08 fwi.npy
2015,2015_198,2015_198 2015-05-08 fwi.npy
2015,2015_2,2015_2 2015-04-22 fwi.npy
2015,2015_205,2015_205 2015-05-10 fwi.npy
2015,2015_205,2015_205 2015-05-11 fwi.npy
2015,2015_205,2015_205 2015-05-12 fwi.npy
2015,2015_205,2015_205 2015-05-13 fwi.npy
2015,2015_210,2015_210 2015-05-12 fwi.npy
2015,2015_215,2015_215 2015-05-12 fwi.npy
2015,2015_215,2015_215 2015-05-13 fwi.npy
2015,2015_26,2015_26 2015-04-15 fwi.npy
2015,2015_27,2015_27 2015-04-25 fwi.npy
2015,2015_29,2015_29 2015-04-15 fwi.npy
2015,2015_29,2015_29 2015-04-17 fwi.npy
2015,2015_336,2015_336 2015-06-04 fwi.npy
2015,2015_431,2015_431 2015-05-27 fwi.npy
2015,2015_517,2015_517 2015-06-10 fwi.npy
2015,2015_599,2015_599 2015-06-24 fwi.npy
2015,2015_6,2015_6 2015-04-06 fwi.npy
2015,2015_9,2015_9 2015-04-09 fwi.npy
2016,2016_2,2016_2 2016-03-29 fwi.npy
2016,2016_22,2016_22 2016-04-18 fwi.npy
2016,2016_24,2016_24 2016-04-18 fwi.npy
2016,2016_26,2016_26 2016-04-19 fwi.npy
2016,2016_4,2016_4 2016-03-30 fwi.npy
2016,2016_4,2016_4 2016-03-31 fwi.npy
2016,2016_4,2016_4 2016-04-01 fwi.npy
2017,2017_1088,2017_1088 2017-10-30 fwi.npy
2017,2017_256,2017_256 2017-11-09 fwi.npy
2017,2017_285,2017_285 2017-10-23 fwi.npy
2017,2017_363,2017_363 2017-10-23 fwi.npy
2018,2018_101,2018_101 2018-05-09 fwi.npy
2018,2018_1120,2018_1120 2018-10-18 fwi.npy
2018,2018_24,2018_24 2018-04-29 fwi.npy
2018,2018_27,2018_27 2018-04-25 fwi.npy
2018,2018_27,2018_27 2018-04-26 fwi.npy
2018,2018_295,2018_295 2018-06-11 fwi.npy
2018,2018_295,2018_295 2018-06-12 fwi.npy
2018,2018_30,2018_30 2018-04-26 fwi.npy
2018,2018_33,2018_33 2018-04-27 fwi.npy
2018,2018_7,2018_7 2018-04-19 fwi.npy
2018,2018_74,2018_74 2018-05-21 fwi.npy
2018,2018_85,2018_85 2018-05-07 fwi.npy
2018,2018_85,2018_85 2018-05-08 fwi.npy
2018,2018_856,2018_856 2018-10-16 fwi.npy
2018,2018_86,2018_86 2018-05-07 fwi.npy
2018,2018_86,2018_86 2018-05-08 fwi.npy
2018,2018_9,2018_9 2018-04-27 fwi.npy
2018,2018_900,2018_900 2018-10-06 fwi.npy
2018,2018_94,2018_94 2018-05-08 fwi.npy
2019,2019_13,2019_13 2019-05-01 fwi.npy
2019,2019_13,2019_13 2019-05-21 fwi.npy
2019,2019_2,2019_2 2019-04-13 fwi.npy
2019,2019_22,2019_22 2019-05-10 fwi.npy
2019,2019_3,2019_3 2019-05-14 fwi.npy
2019,2019_3,2019_3 2019-05-23 fwi.npy
2019,2019_4,2019_4 2019-04-13 fwi.npy
2019,2019_50,2019_50 2019-05-22 fwi.npy
2019,2019_50,2019_50 2019-05-23 fwi.npy
2019,2019_9,2019_9 2019-04-28 fwi.npy
2020,2020_0,2020_0 2020-04-17 fwi.npy
2020,2020_0,2020_0 2020-04-30 fwi.npy
2020,2020_0,2020_0 2020-05-09 fwi.npy
2020,2020_0,2020_0 2020-05-10 fwi.npy
2020,2020_0,2020_0 2020-05-11 fwi.npy
2020,2020_0,2020_0 2020-05-12 fwi.npy
2020,2020_0,2020_0 2020-05-17 fwi.npy
2020,2020_0,2020_0 2020-05-18 fwi.npy
2020,2020_0,2020_0 2020-05-19 fwi.npy
2020,2020_24,2020_24 2020-04-30 fwi.npy
2020,2020_26,2020_26 2020-04-30 fwi.npy
2020,2020_7,2020_7 2020-04-23 fwi.npy
2020,2020_71,2020_71 2020-05-18 fwi.npy
2020,2020_76,2020_76 2020-05-20 fwi.npy
2020,2020_94,2020_94 2020-05-23 fwi.npy
2021,2021_13,2021_13 2021-04-06 fwi.npy
2021,2021_13,2021_13 2021-05-01 fwi.npy
2021,2021_13,2021_13 2021-05-10 fwi.npy
2021,2021_13,2021_13 2021-05-12 fwi.npy
2021,2021_14,2021_14 2021-04-15 fwi.npy
2021,2021_17,2021_17 2021-04-07 fwi.npy
2021,2021_18,2021_18 2021-04-08 fwi.npy
2021,2021_18,2021_18 2021-05-11 fwi.npy
2021,2021_18,2021_18 2021-05-12 fwi.npy
2021,2021_18,2021_18 2021-05-13 fwi.npy
2021,2021_18,2021_18 2021-05-14 fwi.npy
2021,2021_258,2021_258 2021-10-23 fwi.npy
2021,2021_28,2021_28 2021-04-14 fwi.npy
